year,cropping_system,base_system,rotation,crop_code,water_regime,yield_kg_ha,irrigation_mm,rainfall_mm,n_sites,source_files
1981,MZ | Irrigated,MZ,MZ,MZ,Irrigated,12587.287463976943,235.203530259366,643.2399135446686,2776,1
1982,MZ | Irrigated,MZ,MZ,MZ,Irrigated,10295.3674351585,209.9243515850144,646.5302593659942,2776,1
1983,MZ | Irrigated,MZ,MZ,MZ,Irrigated,5888.061239193084,385.3386167146974,500.37896253602304,2776,1
1984,MZ | Irrigated,MZ,MZ,MZ,Irrigated,9560.5219740634,343.6599423631124,553.1509365994236,2776,1
1985,MZ | Irrigated,MZ,MZ,MZ,Irrigated,10381.674351585014,204.3407780979827,707.824567723343,2776,1
1986,MZ | Irrigated,MZ,MZ,MZ,Irrigated,12341.886167146977,221.70389048991356,627.1458933717579,2776,1
1987,MZ | Irrigated,MZ,MZ,MZ,Irrigated,12689.45136887608,181.28602305475505,726.5893371757925,2776,1
1988,MZ | Irrigated,MZ,MZ,MZ,Irrigated,8478.64553314121,313.328530259366,412.2672910662824,2776,1
1989,MZ | Irrigated,MZ,MZ,MZ,Irrigated,12174.31159942363,188.04034582132564,645.1693083573487,2776,1
1990,MZ | Irrigated,MZ,MZ,MZ,Irrigated,9616.167507204613,292.26404899135446,619.4769452449568,2776,1
1991,MZ | Irrigated,MZ,MZ,MZ,Irrigated,9693.424351585014,353.5842939481268,451.87319884726224,2776,1
1992,MZ | Irrigated,MZ,MZ,MZ,Irrigated,14595.80727665706,124.3065561959654,761.7582853025937,2776,1
1993,MZ | Irrigated,MZ,MZ,MZ,Irrigated,13061.193443804035,95.19092219020172,952.7485590778098,2776,1
1994,MZ | Irrigated,MZ,MZ,MZ,Irrigated,11924.126801152735,274.9369596541787,512.8818443804034,2776,1
1995,MZ | Irrigated,MZ,MZ,MZ,Irrigated,9631.210734870318,211.8335734870317,750.7928674351585,2776,1
1996,MZ | Irrigated,MZ,MZ,MZ,Irrigated,12026.923270893372,150.81952449567723,634.2532420749279,2776,1
1997,MZ | Irrigated,MZ,MZ,MZ,Irrigated,12195.6984870317,208.77161383285303,619.7950288184438,2776,1
1998,MZ | Irrigated,MZ,MZ,MZ,Irrigated,9783.324207492797,197.8836455331412,562.4405619596541,2776,1
1999,MZ | Irrigated,MZ,MZ,MZ,Irrigated,10652.99423631124,218.5158501440922,737.8710374639769,2776,1
2000,MZ | Irrigated,MZ,MZ,MZ,Irrigated,6173.009726224784,317.27305475504323,515.1397694524495,2776,1
2001,MZ | Irrigated,MZ,MZ,MZ,Irrigated,8281.871037463978,292.471181556196,637.2611671469741,2776,1
2002,MZ | Irrigated,MZ,MZ,MZ,Irrigated,8687.320965417868,364.13904899135446,451.57672910662825,2776,1
2003,MZ | Irrigated,MZ,MZ,MZ,Irrigated,8109.966858789626,355.8087175792507,563.6159942363113,2776,1
2004,MZ | Irrigated,MZ,MZ,MZ,Irrigated,13085.208213256485,187.71613832853023,714.3451008645533,2776,1
2005,MZ | Irrigated,MZ,MZ,MZ,Irrigated,10767.35734870317,210.99603746397693,698.0969020172911,2776,1
2006,MZ | Irrigated,MZ,MZ,MZ,Irrigated,8781.996397694524,296.0194524495677,519.0342219020173,2776,1
2007,MZ | Irrigated,MZ,MZ,MZ,Irrigated,9710.599423631123,179.05259365994235,788.2622478386168,2776,1
2008,MZ | Irrigated,MZ,MZ,MZ,Irrigated,12859.515489913543,175.8735590778098,778.2269452449568,2776,1
2009,MZ | Irrigated,MZ,MZ,MZ,Irrigated,13394.98378962536,187.37391930835736,736.2943083573487,2776,1
2010,MZ | Irrigated,MZ,MZ,MZ,Irrigated,10326.718299711816,226.657060518732,665.524855907781,2776,1
2011,MZ | Irrigated,MZ,MZ,MZ,Irrigated,6250.115634005763,357.8350144092219,468.5932997118156,2776,1
2012,MZ | Irrigated,MZ,MZ,MZ,Irrigated,6950.668227665706,433.57348703170027,399.86959654178673,2776,1
2013,MZ | Irrigated,MZ,MZ,MZ,Irrigated,9765.86455331412,239.58033141210376,592.5500720461096,2776,1
2014,MZ | Irrigated,MZ,MZ,MZ,Irrigated,9554.740634005764,239.5262968299712,540.928674351585,2776,1
2015,MZ | Irrigated,MZ,MZ,MZ,Irrigated,11866.287824207491,205.50252161383284,670.0878962536023,2776,1
2016,MZ | Irrigated,MZ,MZ,MZ,Irrigated,11721.363112391931,151.64805475504323,712.8775216138329,2776,1
2017,MZ | Irrigated,MZ,MZ,MZ,Irrigated,12051.356268011526,258.58249279538904,662.6981268011527,2776,1
2018,MZ | Irrigated,MZ,MZ,MZ,Irrigated,11527.234149855907,212.1397694524496,606.5961815561959,2776,1
1981,MZ | Potential,MZ,MZ,MZ,Potential,12588.23090778098,0.0,0.0,2776,1
1982,MZ | Potential,MZ,MZ,MZ,Potential,10295.643011527378,0.0,0.0,2776,1
1983,MZ | Potential,MZ,MZ,MZ,Potential,5888.529899135447,0.0,0.0,2776,1
1984,MZ | Potential,MZ,MZ,MZ,Potential,9560.524135446683,0.0,0.0,2776,1
1985,MZ | Potential,MZ,MZ,MZ,Potential,10381.862031700288,0.0,0.0,2776,1
1986,MZ | Potential,MZ,MZ,MZ,Potential,12342.196325648414,0.0,0.0,2776,1
1987,MZ | Potential,MZ,MZ,MZ,Potential,12689.326729106628,0.0,0.0,2776,1
1988,MZ | Potential,MZ,MZ,MZ,Potential,8478.936959654178,0.0,0.0,2776,1
1989,MZ | Potential,MZ,MZ,MZ,Potential,12174.313760806916,0.0,0.0,2776,1
1990,MZ | Potential,MZ,MZ,MZ,Potential,9616.32060518732,0.0,0.0,2776,1
1991,MZ | Potential,MZ,MZ,MZ,Potential,9693.662103746396,0.0,0.0,2776,1
1992,MZ | Potential,MZ,MZ,MZ,Potential,14595.814481268011,0.0,0.0,2776,1
1993,MZ | Potential,MZ,MZ,MZ,Potential,13061.41786743516,0.0,0.0,2776,1
1994,MZ | Potential,MZ,MZ,MZ,Potential,11924.194164265127,0.0,0.0,2776,1
1995,MZ | Potential,MZ,MZ,MZ,Potential,9631.022334293948,0.0,0.0,2776,1
1996,MZ | Potential,MZ,MZ,MZ,Potential,12026.990994236312,0.0,0.0,2776,1
1997,MZ | Potential,MZ,MZ,MZ,Potential,12195.969380403458,0.0,0.0,2776,1
1998,MZ | Potential,MZ,MZ,MZ,Potential,9783.333933717578,0.0,0.0,2776,1
1999,MZ | Potential,MZ,MZ,MZ,Potential,10653.067363112392,0.0,0.0,2776,1
2000,MZ | Potential,MZ,MZ,MZ,Potential,6173.186599423631,0.0,0.0,2776,1
2001,MZ | Potential,MZ,MZ,MZ,Potential,8282.877161383285,0.0,0.0,2776,1
2002,MZ | Potential,MZ,MZ,MZ,Potential,8690.212536023055,0.0,0.0,2776,1
2003,MZ | Potential,MZ,MZ,MZ,Potential,8110.402377521614,0.0,0.0,2776,1
2004,MZ | Potential,MZ,MZ,MZ,Potential,13085.210734870318,0.0,0.0,2776,1
2005,MZ | Potential,MZ,MZ,MZ,Potential,10769.495317002882,0.0,0.0,2776,1
